Name,Lastname,Sex,Date_Loan
Victoria,Guerrero,M,2016-12-28
Ricardo,Blanco,M,2020-08-03
Miguel,Acosta,M,2015-01-13
Rafael,Díaz,F,2017-11-10
Valeria,Domínguez,F,2016-06-27
Sofía,Rivera,M,2020-09-12
Daniela,Vázquez,M,2017-07-08
Esteban,Blanco,F,2020-12-22
Ana,Ramos,F,2020-07-10
Paula,Benítez,M,2016-11-11
Victoria,Rivera,F,2020-10-13
Alejandro,Núñez,M,2020-12-16
Juan,Rodríguez,M,2020-05-22
Alejandro,Torres,M,2019-08-21
Rafael,Miranda,M,2018-02-11
Luciana,Delgado,F,2018-02-04
Fernando,Chávez,F,2017-01-05
Ana,Acosta,F,2018-01-04
Gabriel,Delgado,F,2015-05-11
Arturo,Gómez,M,2018-11-06
Laura,Domínguez,M,2015-09-08
Roberto,Martínez,M,2019-10-08
Valeria,Miranda,F,2017-08-26
Daniela,Núñez,F,2019-08-29
María,Salazar,F,2020-04-14
Cristian,Bravo,F,2017-08-02
Gabriel,Ramos,M,2016-12-22
Gabriel,Ramos,M,2018-12-07
Antonia,Romero,M,2017-11-22
Ricardo,Castillo,M,2018-11-04
Alejandro,Molina,F,2018-12-23
Adriana,León,M,2018-01-30
Daniela,Delgado,F,2019-06-15
Natalia,Vázquez,M,2019-05-03
Paula,Torres,M,2018-03-30
Carolina,Moreno,M,2017-09-07
Carlos,Molina,F,2016-01-12
Carolina,Rivera,F,2016-03-01
Sergio,Ruiz,F,2015-06-25
Sergio,León,F,2017-12-27
Pablo,Castro,M,2015-04-05
Ricardo,Peña,F,2018-06-18
Andrés,Mendoza,F,2017-06-25
Manuel,Castillo,M,2020-02-29
Luciana,Contreras,M,2015-06-27
Laura,Vázquez,F,2015-06-23
Paula,Jiménez,M,2015-06-30
Pablo,Salazar,M,2019-09-25
Mariana,Vázquez,M,2016-09-06
Valentina,Ruiz,M,2016-07-29
Lorena,Navarro,M,2019-08-08
Gonzalo,Díaz,F,2018-11-18
Gabriela,Contreras,F,2018-02-07
Valeria,Rodríguez,M,2015-05-01
Luis,Díaz,M,2019-05-18
Jorge,Fernández,M,2019-05-09
Pilar,Peña,M,2020-05-29
Luciana,Vázquez,F,2017-07-05
Fernando,González,M,2019-07-23
Antonia,Vargas,M,2019-06-06
Alejandro,Silva,F,2017-10-26
Pedro,Rojas,M,2016-07-23
Pablo,Bravo,F,2017-06-26
Isabella,Martínez,F,2015-02-09
Andrés,Rivera,F,2016-11-05
Roberto,Vázquez,F,2015-06-29
Martina,Sánchez,M,2019-08-05
Valeria,Rojas,M,2020-08-16
Paula,Silva,M,2020-01-18
Andrés,Castillo,F,2020-08-07
María,Herrera,M,2016-01-24
Manuel,Rojas,M,2018-05-19
Sofía,Ramos,F,2018-08-25
Camila,González,M,2016-09-19
Alejandro,Reyes,F,2019-08-08
Gabriel,Benítez,F,2016-12-18
Francisco,Blanco,F,2020-06-24
Pedro,Guerrero,F,2018-12-04
Gabriela,Flores,F,2016-05-08
Sergio,Moreno,F,2017-08-12
Adriana,Fernández,F,2015-09-18
Pablo,Díaz,M,2017-08-14
Gonzalo,Martínez,F,2019-12-13
Felipe,Chávez,M,2015-04-24
Pilar,Torres,M,2018-05-03
María,Silva,M,2015-06-22
María,Rodríguez,F,2019-12-01
Sofía,Romero,F,2018-05-02
Andrés,Domínguez,F,2020-09-06
María,Silva,F,2016-03-24
Pedro,Núñez,F,2020-04-09
Gabriel,Castro,F,2017-01-15
Martina,González,F,2015-04-25
Roberto,García,F,2018-11-16
Pedro,Salazar,F,2019-12-06
Daniela,López,M,2016-09-23
Andrés,Herrera,M,2016-08-13
Isabella,Sánchez,F,2016-03-15
Paula,Díaz,F,2018-06-07
Pilar,Torres,F,2020-02-29
Andrea,Reyes,M,2016-10-23
Victoria,Morales,M,2015-04-15
Carlos,Silva,F,2016-07-24
Pilar,Díaz,F,2017-07-12
Natalia,Morales,M,2017-02-26
Javier,López,M,2019-09-19
Isabella,Rojas,M,2016-02-26
Miguel,Silva,M,2018-10-10
Antonia,González,F,2016-08-05
Juan,Ramos,M,2020-10-29
Esteban,Salazar,M,2018-09-15
Javier,Pérez,M,2020-01-27
Cristian,Torres,F,2017-04-10
Valentina,Chávez,M,2017-07-19
Carlos,López,F,2020-05-05
Pablo,Acosta,M,2017-02-18
Gonzalo,Castillo,F,2018-10-24
José,Contreras,M,2020-02-03
Jorge,Díaz,F,2019-04-10
Emma,Peña,F,2016-09-08
Daniela,Torres,M,2016-05-02
Felipe,Mendoza,M,2020-01-29
Daniela,Rojas,F,2020-09-09
Valeria,Castro,M,2020-07-27
Emma,Rojas,M,2018-11-24
Andrés,Domínguez,M,2015-08-25
Pablo,Sánchez,M,2015-04-03
Felipe,León,F,2020-11-05
Camila,Navarro,M,2018-07-09
Andrés,Jiménez,M,2015-04-02
Gabriela,Delgado,M,2016-06-26
Isabella,Gómez,M,2018-07-28
Manuel,Blanco,F,2018-09-02
Andrea,Contreras,F,2020-01-18
Pilar,Flores,F,2015-10-13
Ana,Ramos,M,2016-01-06
Sergio,Chávez,M,2017-01-09
Fernando,Miranda,F,2018-05-23
Luciana,Álvarez,F,2015-06-29
Ana,Cruz,M,2020-01-14
Sergio,Flores,F,2020-10-21
Fernando,Rojas,M,2017-07-16
Juan,Rojas,M,2020-09-15
Ana,Contreras,F,2016-03-10
Pedro,Rodríguez,M,2020-04-26
Juan,Núñez,F,2019-06-24
Javier,Peña,F,2020-06-19
Gonzalo,Contreras,F,2018-10-29
Paula,Vargas,F,2017-08-10
Javier,Rojas,F,2019-09-04
Martina,Miranda,F,2016-11-16
Andrea,Rojas,F,2019-10-29
Fernando,Domínguez,F,2016-08-05
Pedro,Ramírez,M,2020-11-05
Francisco,López,F,2016-01-11
Esteban,Contreras,F,2020-05-30
Victoria,González,M,2015-03-01
Lorena,Herrera,F,2020-11-22
Paula,Torres,F,2020-01-14
Gabriel,Rojas,M,2016-11-26
Luis,Vázquez,F,2018-04-04
José,Fernández,M,2016-01-23
Laura,Acosta,M,2016-01-15
Valentina,Bravo,M,2019-10-05
Rafael,Castillo,F,2015-12-20
Diego,García,M,2020-08-22
Gabriela,Martínez,F,2018-12-05
Cristian,Sánchez,F,2015-07-04
Manuel,Vázquez,F,2019-01-16
José,Guerrero,F,2018-03-11
Camila,Torres,M,2017-01-15
Daniela,Rodríguez,M,2019-09-18
Sofía,Delgado,M,2015-06-07
Diego,Miranda,M,2017-01-14
Sergio,Ramos,M,2017-05-21
Luis,Rodríguez,M,2018-06-05
Arturo,Torres,F,2019-05-19
Roberto,Morales,F,2018-07-06
Valeria,Cruz,F,2015-05-25
Sofía,Molina,M,2018-07-29
Javier,Salazar,F,2018-12-10
Juan,Domínguez,M,2018-01-10
Pablo,Soto,F,2019-09-26
Florencia,Silva,M,2017-03-15
Gabriel,Soto,M,2018-07-01
Francisco,Morales,F,2020-01-17
Valentina,Chávez,M,2019-02-02
José,Rojas,M,2020-08-29
Martina,Romero,F,2016-07-05
Gabriela,Reyes,M,2018-12-01
María,Ortiz,F,2020-10-04
Esteban,Ruiz,M,2015-06-24
Felipe,Blanco,M,2018-02-22
Sofía,Flores,F,2016-10-18
María,Guerrero,F,2017-02-13
Valentina,Sánchez,M,2018-09-27
Gabriel,Miranda,M,2016-06-20
Fernando,Vargas,F,2019-06-02
Emma,Silva,F,2019-08-12
Pedro,Guerrero,M,2018-01-31
Diego,Silva,M,2019-04-02
Paula,Morales,M,2016-04-06
Antonia,Pérez,M,2015-07-23
Victoria,Vargas,M,2020-04-16
Felipe,Blanco,F,2018-08-25
Luciana,Chávez,M,2015-12-26
Valeria,Cruz,F,2016-10-10
Pablo,Acosta,F,2020-04-14
Pilar,Romero,M,2015-05-17
Alejandro,Domínguez,F,2016-05-14
Mariana,Domínguez,F,2020-02-21
Andrea,Ramos,F,2016-03-11
Jorge,Cruz,F,2016-11-02
Roberto,González,M,2016-06-20
Carlos,Reyes,M,2017-01-21
Pilar,Reyes,M,2015-08-09
Andrés,Castillo,F,2015-12-13
Miguel,Ruiz,M,2020-03-15
Isabella,Gómez,M,2017-01-13
Luis,Rojas,F,2019-11-27
Laura,Blanco,M,2019-01-24
Gabriel,Silva,F,2015-11-08
Luis,Domínguez,F,2017-09-15
Manuel,Torres,M,2017-03-21
Lorena,Chávez,M,2018-09-11
Jorge,Romero,M,2020-05-23
Adriana,Contreras,F,2019-10-17
Pablo,García,F,2016-09-12
Ricardo,Flores,M,2018-03-22
Arturo,Mendoza,F,2018-12-26
Sergio,Moreno,M,2017-12-01
Francisco,Domínguez,M,2020-08-21
José,Navarro,M,2019-01-16
Laura,Castro,F,2015-10-12
Sofía,Vargas,F,2020-10-18
Pilar,León,M,2017-12-25
Gabriela,López,F,2018-02-06
José,Pérez,M,2016-08-14
Gabriel,Salazar,F,2015-10-12
Javier,Reyes,M,2019-11-05
Gonzalo,García,F,2017-06-15
Florencia,Salazar,M,2015-07-26
Andrés,González,M,2015-08-10
Jorge,Miranda,M,2017-05-10
Daniela,Ruiz,F,2020-02-11
Cristian,López,M,2016-09-07
Cristian,Ramos,M,2019-12-27
Valeria,Reyes,M,2015-05-20
Carolina,Sánchez,M,2019-07-26
